Drug1,Drug1 Description,Drug2,Drug2 Description,Interaction Risk (1-10)
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",4
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",6
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",9
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",7
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",4
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",5
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",7
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",4
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",6
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",7
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",2
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",10
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",3
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",6
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",2
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",1
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",1
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",4
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",1
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",10
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",9
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",6
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",9
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",2
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",2
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",9
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",7
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",10
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",1
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",9
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",10
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",5
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",8
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",10
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",7
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",7
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",10
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",6
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",1
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",1
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",10
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",8
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",1
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",9
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",6
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",9
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",5
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",3
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",9
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",2
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",8
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",2
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",6
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",7
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",5
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",7
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",4
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",4
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",9
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",2
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",5
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",4
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",10
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",8
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",7
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",1
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",9
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",9
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",10
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",4
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",9
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",3
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",3
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",3
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",1
